frame,fps,bus,car,person,truck
227,3.32,0,21,0,1
228,4.15,0,20,0,1
229,3.94,0,20,0,2
230,3.8,0,22,0,1
231,2.81,0,22,0,1
232,2.58,0,23,0,1
233,2.86,0,23,0,1
234,3.44,0,22,0,2
235,3.77,0,23,0,2
236,2.91,0,25,0,2
237,2.14,0,24,0,2
238,2.96,0,24,0,2
239,3.69,0,22,0,2
240,2.19,0,23,0,1
241,3.54,0,23,0,1
242,3.18,0,21,0,1
243,2.69,0,24,0,0
244,2.29,0,22,0,0
245,2.39,0,22,0,0
246,2.33,0,21,0,0
247,4.02,0,20,0,0
248,3.84,0,20,0,0
249,3.93,0,20,0,0
250,3.96,0,20,0,0
251,3.96,0,19,0,0
252,3.97,0,22,0,0
253,2.36,0,22,0,1
254,1.95,0,23,0,1
255,2.33,0,23,0,0
256,2.49,0,20,0,0
257,3.59,0,23,0,0
258,3.63,0,22,0,0
259,3.58,0,23,0,1
260,3.6,0,22,0,1
261,3.4,0,21,0,1
262,2.35,0,20,0,0
263,3.63,0,21,0,1
264,3.45,0,22,0,1
265,3.31,0,22,0,1
266,2.47,0,22,0,1
267,3.38,0,21,0,1
268,3.06,0,21,0,1
269,2.74,0,21,0,1
270,2.56,0,21,0,1
271,2.62,0,22,0,1
272,3.37,0,22,0,1
273,2.93,0,23,0,1
274,3.03,0,21,0,1
275,2.47,0,22,0,1
276,2.92,0,21,0,1
277,3.5,0,19,0,1
278,3.88,0,19,0,1
279,4.12,0,18,0,1
280,4.33,0,17,0,1
281,3.5,0,18,0,1
282,4.11,0,18,0,1
283,3.88,0,20,0,1
284,3.92,0,21,0,0
285,4.15,0,22,0,1
286,4.08,0,22,0,1
287,3.68,0,22,0,0
288,3.7,0,22,0,1
289,2.78,0,20,0,0
290,2.34,1,20,0,1
291,2.51,0,22,0,1
292,2.23,0,20,0,1
293,2.95,0,21,0,0
294,2.42,0,21,0,0
295,2.43,0,22,0,1
296,1.72,0,20,0,0
297,2.16,0,20,0,0
298,2.18,0,21,0,0
299,2.64,0,24,0,0
300,2.93,0,24,0,0
301,3.61,0,24,0,0
302,4.31,0,23,0,0
303,4.18,0,22,0,0
304,3.64,0,20,0,0
305,3.88,0,20,0,0
306,3.25,0,20,0,0
307,2.71,0,21,0,0
308,3.94,0,22,0,0
309,3.69,0,22,0,0
310,3.93,0,22,0,0
311,3.86,0,18,0,0
312,4.21,0,18,0,0
313,4.1,0,17,0,0
314,2.59,0,17,0,0
315,2.51,0,17,0,0
316,0.93,0,18,0,0
317,0.97,0,17,0,0
318,2.23,0,17,0,0
319,2.57,0,18,0,0
320,2.32,0,17,0,0
321,2.72,0,17,0,0
322,2.74,0,18,0,0
323,2.26,0,20,0,0
324,2.74,0,18,0,0
325,2.35,0,17,0,0
326,2.59,0,17,0,0
327,2.31,0,16,0,0
328,1.8,0,17,0,0
329,2.72,0,18,0,0
330,2.73,0,18,0,0
331,2.68,0,18,0,0
332,2.88,0,19,0,0
333,2.82,0,19,0,0
334,2.33,0,19,0,0
335,2.21,0,19,0,0
336,2.87,0,19,0,0
337,2.39,0,19,0,0
338,2.62,0,20,0,0
339,3.09,0,20,0,0
340,3.04,0,19,0,0
341,2.5,0,18,0,0
342,3.01,0,20,0,0
343,3.11,0,19,0,0
344,2.59,0,20,0,0
345,3.17,0,20,0,0
346,3.23,0,19,0,0
347,3.09,0,19,0,0
348,3.17,0,19,0,0
349,2.91,0,19,0,0
350,2.37,0,18,0,0
351,3.08,0,19,0,0
352,2.96,0,18,0,0
353,2.68,0,20,0,0
354,2.9,0,19,0,0
355,2.82,0,20,0,0
356,2.18,0,20,0,0
357,2.19,0,19,0,0
358,1.8,0,19,0,0
359,2.51,0,20,0,0
360,1.95,0,21,0,0
361,2.68,0,20,0,0
362,2.51,0,19,0,0
363,2.69,0,19,0,0
364,2.62,0,19,0,0
365,1.99,0,19,0,0
366,2.38,0,19,0,0
367,2.63,0,19,0,0
368,2.83,0,20,0,0
369,3.04,0,19,0,0
370,2.29,0,20,0,0
371,1.94,0,19,0,0
372,1.88,0,19,0,0
373,2.95,0,20,0,0
374,3.08,0,20,0,0
375,3.27,0,19,0,0
376,3.18,0,19,0,1
377,2.08,0,19,0,0
378,3.24,0,18,0,0
379,3.34,0,18,0,0
380,3.9,0,18,0,0
381,2.19,0,18,0,0
382,2.86,0,19,0,0
383,3.15,0,19,0,0
384,3.05,0,19,0,0
385,2.37,0,19,0,0
386,1.86,0,19,0,0
387,3.06,0,17,0,0
388,2.5,0,19,0,0
389,3.15,0,18,0,0
390,2.23,0,18,0,0
391,2.94,0,18,0,0
392,2.63,0,20,0,0
393,3.01,0,19,0,0
394,2.69,0,19,0,0
395,3.0,0,20,0,0
396,2.99,0,18,0,0
397,2.43,0,20,0,0
398,2.71,0,18,0,0
399,3.19,0,18,0,0
400,2.73,0,18,0,0
401,3.35,0,21,0,0
402,2.81,0,20,0,0
403,3.15,0,19,0,0
404,2.99,0,19,0,0
405,3.29,0,20,0,0
406,3.44,0,20,0,0
407,3.06,0,18,0,0
408,3.38,0,20,0,0
409,3.03,0,22,0,0
410,3.23,0,20,0,0
411,3.0,0,20,0,0
412,3.27,0,22,0,1
413,1.86,0,22,0,0
414,2.96,0,23,0,0
415,3.45,0,21,0,0
416,3.4,0,23,0,1
417,3.48,0,21,0,0
418,3.08,0,20,0,0
419,3.44,0,21,0,0
420,3.98,0,20,0,0
421,3.41,0,22,0,0
422,3.26,0,21,0,0
423,3.29,0,23,0,0
424,3.48,0,22,0,0
425,3.26,0,23,0,0
426,2.75,0,25,0,0
427,2.18,0,24,0,0
428,2.92,0,24,0,0
429,2.81,0,25,0,0
430,3.14,0,25,0,0
431,4.02,0,24,0,0
432,3.06,0,21,0,1
433,3.81,0,23,0,0
434,3.7,0,22,0,0
435,3.97,0,23,0,0
436,3.75,0,22,0,0
437,3.74,0,24,0,0
438,4.02,0,21,0,0
439,1.41,0,23,0,0
440,1.99,0,22,0,0
441,3.64,0,24,0,1
442,3.1,0,23,0,0
443,3.22,0,25,0,0
444,4.1,0,25,0,0
445,4.53,0,22,0,0
446,1.43,0,23,0,0
447,2.1,0,26,0,0
448,3.54,0,26,0,0
449,3.32,0,27,0,0
450,3.3,0,25,0,0
451,3.51,0,26,0,0
452,1.73,0,28,0,0
453,2.76,0,25,0,0
454,2.61,0,26,0,0
455,2.55,0,26,0,0
456,2.75,0,24,0,0
457,2.84,0,26,0,0
458,2.58,0,25,0,0
459,2.98,0,26,0,0
460,2.9,0,27,0,1
461,3.0,0,26,0,0
462,3.15,0,27,0,0
463,2.92,0,28,0,0
464,3.0,0,27,0,0
465,2.87,0,28,0,0
466,2.96,0,26,0,0
467,2.98,0,27,0,0
468,2.96,0,27,0,0
469,2.66,0,27,0,0
470,2.54,0,27,0,0
471,2.41,0,25,0,1
472,2.74,0,25,0,0
473,2.06,0,26,0,1
474,3.59,0,25,0,0
475,3.47,0,26,0,0
476,2.77,0,25,0,0
477,3.35,0,26,0,0
